subid,proba,pred
Caltech-0051476,22.33,0.0
NYU-0051007,38.33,0.0
MaxMun-d-0051350,78.67,1.0
NYU-0051109,80.0,1.0
UM-1-0050277,95.33,1.0
Yale-0050557,44.0,0.0
NYU-0051127,77.67,1.0
KKI-0050786,40.67,0.0
CMU-a-0050646,41.33,0.0
NYU-0051047,46.0,0.0
SDSU-0050192,98.67,1.0
UCLA-1-0051234,42.67,0.0
Yale-0050606,57.0,1.0
Yale-0050605,91.0,1.0
KKI-0050825,94.0,1.0
USM-0050487,31.67,0.0
NYU-0051034,70.0,1.0
UM-1-0050324,38.67,0.0
UCLA-2-0051316,95.0,1.0
Leuven-2-0050736,61.67,1.0
USM-0050518,30.0,0.0
UM-1-0050304,96.67,1.0
CMU-b-0050648,19.67,0.0
UM-1-0050284,91.33,1.0
NYU-0051096,41.67,0.0
SBL-0051567,25.0,0.0
MaxMun-a-0051364,55.0,1.0
UCLA-1-0051230,36.67,0.0
SBL-0051575,27.33,0.0
Trinity-0051134,27.33,0.0
Leuven-2-0050739,32.33,0.0
UM-1-0050371,97.33,1.0
USM-0050435,38.67,0.0
MaxMun-c-0051335,18.33,0.0
OHSU-0050145,53.67,1.0
Pitt-0050047,36.67,0.0
Caltech-0051467,23.0,0.0
UCLA-1-0051209,98.0,1.0
UCLA-1-0051278,63.0,1.0
UCLA-2-0051315,43.33,0.0
UM-2-0050391,27.33,0.0
SDSU-0050190,96.67,1.0
Olin-0050131,44.33,0.0
UCLA-2-0051313,47.0,0.0
Trinity-0050242,96.33,1.0
NYU-0050987,84.0,1.0
Stanford-0051192,90.0,1.0
OHSU-0050167,44.67,0.0
SDSU-0050197,98.33,1.0
Stanford-0051177,61.67,1.0
Leuven-2-0050754,40.0,0.0
Leuven-1-0050707,44.33,0.0
KKI-0050779,96.33,1.0
UM-1-0050359,92.67,1.0
Stanford-0051183,90.67,1.0
Leuven-1-0050705,40.67,0.0
Olin-0050120,92.33,1.0
NYU-0051094,45.33,0.0
KKI-0050789,98.0,1.0
OHSU-0050168,41.67,0.0
NYU-0051044,47.0,0.0
Leuven-2-0050735,43.0,0.0
Leuven-2-0050751,41.33,0.0
Pitt-0050015,77.0,1.0
Yale-0050561,58.67,1.0
Yale-0050571,48.0,0.0
SBL-0051565,30.67,0.0
SDSU-0050217,93.33,1.0
Trinity-0050236,36.33,0.0
Yale-0050562,54.33,1.0
NYU-0051028,38.67,0.0
NYU-0051025,51.33,1.0
Stanford-0051161,94.0,1.0
Stanford-0051195,98.67,1.0
NYU-0051071,88.67,1.0
SBL-0051566,33.67,0.0
UCLA-2-0051317,96.67,1.0
NYU-0050977,53.33,1.0
Leuven-1-0050689,35.67,0.0
NYU-0050976,46.0,0.0
NYU-0051106,42.0,0.0
USM-0050515,45.0,0.0
UM-2-0050387,75.67,1.0
UCLA-1-0051252,37.67,0.0
SDSU-0050188,85.0,1.0
UM-1-0050302,72.33,1.0
OHSU-0050160,38.0,0.0
MaxMun-c-0051339,37.67,0.0
UM-1-0050287,40.0,0.0
SDSU-0050211,98.33,1.0
NYU-0050992,53.0,1.0
KKI-0050820,44.33,0.0
USM-0050455,43.33,0.0
Pitt-0050011,42.0,0.0
NYU-0051091,45.67,0.0
Yale-0050574,51.33,1.0
Stanford-0051189,88.33,1.0
USM-0050490,55.67,1.0
KKI-0050796,43.33,0.0
Caltech-0051471,28.33,0.0
MaxMun-c-0051343,42.0,0.0
Stanford-0051185,80.33,1.0
UCLA-1-0051238,94.33,1.0
UM-1-0050272,71.0,1.0
MaxMun-d-0051358,87.0,1.0
NYU-0050965,78.33,1.0
NYU-0051010,52.0,1.0
UCLA-1-0051220,53.67,1.0
UCLA-1-0051269,44.0,0.0
Stanford-0051180,45.33,0.0
SDSU-0050215,62.0,1.0
UCLA-1-0051227,96.33,1.0
Yale-0050617,83.33,1.0
CMU-b-0050650,32.67,0.0
CMU-a-0050647,22.67,0.0
OHSU-0050143,33.67,0.0
Stanford-0051179,73.67,1.0
UM-1-0050295,37.0,0.0
UM-2-0050417,46.0,0.0
Leuven-2-0050740,37.0,0.0
UCLA-2-0051301,73.33,1.0
UCLA-2-0051292,85.67,1.0
UCLA-1-0051221,47.0,0.0
SBL-0051576,33.0,0.0
Yale-0050575,61.0,1.0
SBL-0051564,34.67,0.0
CMU-a-0050654,30.33,0.0
UM-1-0050307,90.67,1.0
Trinity-0050246,66.33,1.0
MaxMun-b-0051325,40.33,0.0
SDSU-0050191,92.0,1.0
OHSU-0050149,45.67,0.0
MaxMun-c-0051345,37.0,0.0
Yale-0050628,43.33,0.0
Stanford-0051175,98.0,1.0
UM-1-0050363,54.33,1.0
NYU-0050998,84.67,1.0
NYU-0051088,44.67,0.0
SDSU-0050195,78.33,1.0
UCLA-1-0051216,41.33,0.0
Stanford-0051172,76.33,1.0
USM-0050516,19.67,0.0
USM-0050470,41.67,0.0
Stanford-0051165,98.33,1.0
Leuven-1-0050695,43.67,0.0
NYU-0051129,37.33,0.0
UM-2-0050403,60.0,1.0
MaxMun-d-0051329,37.33,0.0
USM-0050530,38.33,0.0
SDSU-0050189,93.0,1.0
UM-1-0050373,92.33,1.0
USM-0050504,40.33,0.0
Stanford-0051196,93.33,1.0
USM-0050466,31.33,0.0
USM-0050481,43.67,0.0
Stanford-0051173,95.33,1.0
KKI-0050776,44.0,0.0
UCLA-1-0051226,52.0,1.0
USM-0050434,28.0,0.0
NYU-0050952,55.0,1.0
NYU-0051065,42.67,0.0
Pitt-0050007,88.67,1.0
UM-1-0050293,41.33,0.0
Yale-0050615,45.33,0.0
UM-1-0050354,70.33,1.0
NYU-0051000,44.33,0.0
KKI-0050792,60.33,1.0
NYU-0050989,82.67,1.0
NYU-0050986,47.0,0.0
UM-2-0050422,75.0,1.0
KKI-0050816,62.33,1.0
NYU-0051024,42.0,0.0
UM-1-0050366,38.67,0.0
Leuven-2-0050749,44.0,0.0
UM-1-0050278,72.33,1.0
Pitt-0050048,63.67,1.0
SDSU-0050182,91.0,1.0
UM-1-0050275,37.67,0.0
CMU-b-0050651,50.33,1.0
UM-2-0050408,40.33,0.0
Yale-0050611,50.0,0.0
Pitt-0050041,37.0,0.0
Olin-0050121,33.67,0.0
Yale-0050573,45.0,0.0
Pitt-0050025,40.0,0.0
MaxMun-c-0051336,75.33,1.0
NYU-0050995,48.0,0.0
Yale-0050609,58.33,1.0
NYU-0051023,48.0,0.0
Yale-0050613,41.0,0.0
Stanford-0051197,67.0,1.0
NYU-0051149,43.0,0.0
MaxMun-b-0051324,86.33,1.0
UM-2-0050413,40.33,0.0
UM-1-0050335,38.0,0.0
NYU-0051124,42.67,0.0
UM-1-0050343,35.67,0.0
MaxMun-b-0051327,64.33,1.0
Yale-0050622,38.33,0.0
NYU-0051041,84.0,1.0
NYU-0051086,48.0,0.0
KKI-0050788,41.0,0.0
MaxMun-d-0051355,73.33,1.0
Yale-0050567,34.67,0.0
Yale-0050555,43.33,0.0
Trinity-0050252,50.0,0.0
SBL-0051563,31.0,0.0
Pitt-0050042,46.0,0.0
UM-2-0050419,42.0,0.0
Pitt-0050008,39.33,0.0
SDSU-0050209,72.33,1.0
NYU-0050966,41.0,0.0
UM-1-0050330,38.0,0.0
NYU-0051084,43.67,0.0
Yale-0050572,41.67,0.0
KKI-0050812,64.33,1.0
UM-1-0050274,39.67,0.0
Pitt-0050022,49.67,0.0
NYU-0051128,40.67,0.0
UM-1-0050346,39.0,0.0
NYU-0051033,81.33,1.0
Pitt-0050036,59.33,1.0
NYU-0050993,49.67,0.0
NYU-0051069,44.0,0.0
NYU-0050969,46.67,0.0
Stanford-0051163,64.67,1.0
USM-0050528,43.33,0.0
UCLA-2-0051305,42.0,0.0
NYU-0051123,44.67,0.0
Olin-0050129,80.67,1.0
Trinity-0050241,22.0,0.0
KKI-0050784,42.67,0.0
UCLA-1-0051250,79.67,1.0
SBL-0051561,28.0,0.0
Pitt-0050051,46.67,0.0
NYU-0050960,50.0,0.0
UM-1-0050350,42.33,0.0
NYU-0051146,41.67,0.0
MaxMun-a-0051369,57.33,1.0
UM-1-0050332,63.0,1.0
UCLA-1-0051282,95.0,1.0
NYU-0051159,70.33,1.0
UM-1-0050349,46.67,0.0
Pitt-0050055,39.33,0.0
Trinity-0050232,48.0,0.0
NYU-0051054,41.33,0.0
UM-2-0050428,42.67,0.0
UM-1-0050273,43.33,0.0
UM-2-0050411,65.0,1.0
Yale-0050626,38.0,0.0
UM-1-0050344,42.33,0.0
MaxMun-c-0051341,46.33,0.0
Pitt-0050031,61.33,1.0
Pitt-0050052,54.67,1.0
NYU-0051008,70.0,1.0
Yale-0050551,42.67,0.0
Yale-0050566,45.0,0.0
UM-2-0050412,47.33,0.0
Pitt-0050038,39.67,0.0
SDSU-0050198,89.33,1.0
Leuven-2-0050753,37.0,0.0
Yale-0050568,34.0,0.0
NYU-0050961,50.33,1.0
UM-2-0050402,34.33,0.0
UM-1-0050298,50.33,1.0
Pitt-0050012,38.0,0.0
Olin-0050106,50.33,1.0
NYU-0051012,51.33,1.0
UM-2-0050410,56.67,1.0
KKI-0050772,49.0,0.0
Yale-0050554,48.0,0.0
Yale-0050610,53.0,1.0
SBL-0051556,48.0,0.0
NYU-0051100,47.33,0.0
NYU-0051032,49.0,0.0
NYU-0051078,46.33,0.0
Olin-0050107,37.67,0.0
NYU-0051026,43.0,0.0
Caltech-0051493,28.67,0.0
NYU-0051103,42.33,0.0
NYU-0051081,48.33,0.0
Leuven-2-0050747,40.33,0.0
UM-1-0050331,45.67,0.0
UM-1-0050334,41.0,0.0
Leuven-2-0050757,44.0,0.0
Yale-0050607,42.0,0.0
Yale-0050569,39.67,0.0
Yale-0050623,35.0,0.0
Stanford-0051198,57.33,1.0
NYU-0050984,44.67,0.0
NYU-0050972,42.67,0.0
NYU-0051040,43.67,0.0
Yale-0050552,42.0,0.0
NYU-0050999,46.33,0.0
Pitt-0050026,67.0,1.0
UM-1-0050297,40.67,0.0
Pitt-0050009,44.67,0.0
Yale-0050614,45.33,0.0
NYU-0051006,49.67,0.0
UM-2-0050407,39.67,0.0
UM-1-0050300,47.33,0.0
SDSU-0050204,69.0,1.0
KKI-0050795,76.67,1.0
Yale-0050553,53.0,1.0
Leuven-2-0050746,50.0,0.0
Pitt-0050019,63.0,1.0
CMU-a-0050659,40.0,0.0
SDSU-0050206,60.33,1.0
UCLA-2-0051302,47.33,0.0
Yale-0050563,43.67,0.0
MaxMun-a-0051365,92.0,1.0
Leuven-2-0050756,42.67,0.0
SDSU-0050210,46.33,0.0
NYU-0051105,46.0,0.0
Yale-0050559,45.67,0.0
UM-1-0050336,41.0,0.0
KKI-0050794,76.0,1.0
USM-0050524,42.67,0.0
Yale-0050570,40.67,0.0
CMU-b-0050644,41.67,0.0
Trinity-0050250,33.0,0.0
NYU-0050957,80.33,1.0
Yale-0050560,50.33,1.0
UM-1-0050367,43.0,0.0
Trinity-0050249,40.33,0.0
NYU-0051148,37.0,0.0
UCLA-2-0051297,52.0,1.0
UM-2-0050424,42.0,0.0
NYU-0051038,42.0,0.0
UM-1-0050353,45.67,0.0
UM-1-0050282,35.33,0.0
KKI-0050824,65.0,1.0
UCLA-2-0051303,44.0,0.0
Leuven-2-0050724,36.33,0.0
KKI-0050800,43.67,0.0
Yale-0050564,45.67,0.0
KKI-0050817,40.67,0.0
UM-1-0050345,32.33,0.0
SDSU-0050184,64.33,1.0
Yale-0050576,45.67,0.0
UCLA-1-0051274,87.0,1.0
NYU-0050974,50.67,1.0
UM-1-0050276,40.33,0.0
UM-1-0050357,47.33,0.0
NYU-0051035,53.33,1.0
NYU-0051003,71.67,1.0
MaxMun-d-0051361,84.33,1.0
NYU-0050967,45.67,0.0
Yale-0050621,51.33,1.0
SDSU-0050216,86.33,1.0
NYU-0051016,44.0,0.0
NYU-0051052,47.33,0.0
NYU-0051075,39.33,0.0
Caltech-0051463,18.33,0.0
NYU-0051085,41.67,0.0
USM-0050496,45.67,0.0
UCLA-2-0051295,82.33,1.0
UM-2-0050425,46.0,0.0
NYU-0051001,48.67,0.0
UM-1-0050294,38.33,0.0
NYU-0051064,51.0,1.0
SBL-0051578,32.67,0.0
UM-1-0050339,42.67,0.0
UM-1-0050327,38.33,0.0
Yale-0050601,44.67,0.0
UCLA-2-0051309,33.67,0.0
UCLA-1-0051239,55.0,1.0
Olin-0050128,38.0,0.0
UM-1-0050348,33.0,0.0
NYU-0051055,56.33,1.0
Yale-0050608,46.0,0.0
NYU-0051021,64.33,1.0
Olin-0050103,75.67,1.0
Pitt-0050058,46.0,0.0
Yale-0050556,50.33,1.0
KKI-0050780,60.67,1.0
Pitt-0050006,43.0,0.0
KKI-0050801,48.67,0.0
Yale-0050624,43.33,0.0
NYU-0051083,42.33,0.0
MaxMun-d-0051351,40.0,0.0
Trinity-0050235,48.67,0.0
NYU-0050994,42.0,0.0
UM-1-0050342,45.0,0.0
Leuven-2-0050743,44.67,0.0
NYU-0051013,50.33,1.0
NYU-0051080,45.33,0.0
Trinity-0050248,31.0,0.0
NYU-0051017,66.67,1.0
Olin-0050132,36.67,0.0
Leuven-1-0050686,44.0,0.0
NYU-0050991,45.67,0.0
Pitt-0050044,39.0,0.0
NYU-0050982,41.0,0.0
UCLA-1-0051219,49.33,0.0
UM-1-0050325,62.67,1.0
SDSU-0050208,42.33,0.0
MaxMun-c-0051348,79.33,1.0
KKI-0050787,60.67,1.0
Yale-0050603,48.33,0.0
Pitt-0050040,42.0,0.0
Leuven-1-0050682,87.33,1.0
NYU-0051063,42.0,0.0
NYU-0051089,46.0,0.0
Pitt-0050039,64.0,1.0
Pitt-0050013,62.0,1.0
NYU-0050979,55.67,1.0
Yale-0050578,40.33,0.0
NYU-0051027,43.33,0.0
UCLA-2-0051299,84.33,1.0
NYU-0051153,51.0,1.0
NYU-0051112,43.67,0.0
UM-1-0050291,43.33,0.0
NYU-0051058,43.0,0.0
NYU-0050997,46.33,0.0
Leuven-2-0050744,87.67,1.0
NYU-0051101,44.67,0.0
Leuven-1-0050693,37.0,0.0
NYU-0051066,44.67,0.0
Pitt-0050032,45.33,0.0
Leuven-2-0050722,40.67,0.0
NYU-0051079,48.33,0.0
NYU-0051074,42.67,0.0
NYU-0051116,44.33,0.0
SDSU-0050194,76.67,1.0
OHSU-0050163,52.67,1.0
Pitt-0050035,44.0,0.0
MaxMun-a-0051321,46.33,0.0
Pitt-0050030,37.67,0.0
MaxMun-a-0051363,43.33,0.0
CMU-a-0050642,37.33,0.0
Leuven-2-0050726,39.0,0.0
NYU-0051029,41.67,0.0
Leuven-2-0050732,46.0,0.0
CMU-a-0050649,23.33,0.0
NYU-0051121,49.33,0.0
SBL-0051557,31.67,0.0
Leuven-1-0050702,35.33,0.0
OHSU-0050162,44.0,0.0
NYU-0051155,45.0,0.0
MaxMun-b-0051323,54.67,1.0
Leuven-1-0050692,34.33,0.0
NYU-0051045,46.0,0.0
Olin-0050125,38.33,0.0
Caltech-0051466,26.33,0.0
Leuven-2-0050738,45.33,0.0
NYU-0051077,40.0,0.0
KKI-0050797,46.67,0.0
OHSU-0050147,37.33,0.0
NYU-0051046,46.0,0.0
NYU-0051131,45.67,0.0
Caltech-0051484,31.0,0.0
KKI-0050799,41.33,0.0
Leuven-1-0050691,40.0,0.0
Leuven-2-0050737,38.67,0.0
Caltech-0051491,19.33,0.0
Leuven-1-0050696,40.33,0.0
NYU-0051019,41.67,0.0
NYU-0051126,43.0,0.0
NYU-0050990,61.0,1.0
KKI-0050775,45.0,0.0
KKI-0050773,40.67,0.0
Leuven-1-0050708,41.33,0.0
NYU-0050954,47.0,0.0
SBL-0051582,35.0,0.0
Leuven-2-0050742,40.67,0.0
CMU-b-0050669,41.0,0.0
NYU-0051062,44.0,0.0
NYU-0051099,47.0,0.0
Pitt-0050043,38.67,0.0
Olin-0050134,42.33,0.0
Leuven-2-0050741,38.67,0.0
NYU-0050985,42.33,0.0
SBL-0051573,32.33,0.0
SBL-0051558,41.0,0.0
MaxMun-c-0051332,16.67,0.0
SBL-0051577,29.33,0.0
Pitt-0050024,45.0,0.0
SBL-0051562,29.0,0.0
MaxMun-d-0051354,40.0,0.0
Pitt-0050057,36.0,0.0
NYU-0050970,41.0,0.0
OHSU-0050159,45.0,0.0
NYU-0051130,43.33,0.0
Leuven-1-0050704,30.67,0.0
Olin-0050118,37.67,0.0
NYU-0050996,34.0,0.0
Olin-0050127,44.33,0.0
Leuven-1-0050688,35.67,0.0
SBL-0051569,32.33,0.0
Leuven-2-0050755,38.33,0.0
KKI-0050783,38.0,0.0
Leuven-2-0050748,51.67,1.0
SBL-0051579,30.33,0.0
Leuven-2-0050730,39.67,0.0
NYU-0051020,38.67,0.0
Leuven-2-0050725,38.33,0.0
SBL-0051584,25.33,0.0
NYU-0051067,45.33,0.0
Leuven-1-0050690,46.0,0.0
NYU-0051049,41.0,0.0
Caltech-0051479,14.33,0.0
CMU-a-0050656,34.67,0.0
NYU-0051111,44.0,0.0
NYU-0051068,42.33,0.0
NYU-0051073,44.33,0.0
NYU-0051061,41.67,0.0
OHSU-0050150,45.0,0.0
NYU-0051113,47.67,0.0
NYU-0051156,40.67,0.0
NYU-0051009,55.67,1.0
NYU-0050973,43.67,0.0
SDSU-0050183,36.33,0.0
NYU-0051147,43.67,0.0
NYU-0051090,50.0,0.0
Olin-0050104,36.67,0.0
MaxMun-d-0051360,37.67,0.0
SBL-0051560,27.67,0.0
SBL-0051571,36.0,0.0
NYU-0051076,43.67,0.0
Leuven-2-0050723,39.33,0.0
OHSU-0050153,46.67,0.0
NYU-0051098,44.33,0.0
KKI-0050777,44.67,0.0
Pitt-0050014,44.33,0.0
Leuven-2-0050752,39.67,0.0
NYU-0051122,42.33,0.0
OHSU-0050152,40.33,0.0
Leuven-1-0050685,55.0,1.0
KKI-0050782,33.67,0.0
Pitt-0050050,40.0,0.0
Pitt-0050027,35.67,0.0
MaxMun-a-0051370,40.33,0.0
Pitt-0050034,38.0,0.0
KKI-0050778,38.0,0.0
SBL-0051559,31.0,0.0
Caltech-0051473,16.67,0.0
Leuven-1-0050709,39.0,0.0
NYU-0051014,45.0,0.0
Leuven-2-0050731,37.67,0.0
NYU-0051048,47.33,0.0
NYU-0051110,42.67,0.0
SBL-0051581,27.33,0.0
Pitt-0050016,48.67,0.0
NYU-0051002,43.33,0.0
MaxMun-a-0051318,42.33,0.0
KKI-0050790,32.67,0.0
Leuven-1-0050683,43.0,0.0
NYU-0051018,47.33,0.0
OHSU-0050164,41.67,0.0
SBL-0051574,34.67,0.0
KKI-0050807,37.33,0.0
Leuven-1-0050700,39.67,0.0
MaxMun-b-0051322,35.67,0.0
SBL-0051568,20.0,0.0
NYU-0051151,46.67,0.0
Caltech-0051485,19.67,0.0
NYU-0050988,42.67,0.0
NYU-0051059,43.67,0.0
Leuven-1-0050698,41.33,0.0
SDSU-0050196,39.0,0.0
NYU-0051087,42.33,0.0
Leuven-1-0050687,31.33,0.0
NYU-0051102,48.33,0.0
Leuven-2-0050733,32.67,0.0
MaxMun-a-0051606,40.67,0.0
Leuven-2-0050745,45.33,0.0
SBL-0051572,32.33,0.0
SDSU-0050187,40.0,0.0
NYU-0050968,86.0,1.0
KKI-0050774,40.33,0.0
NYU-0051154,30.33,0.0
NYU-0050956,39.0,0.0
Leuven-1-0050706,38.33,0.0
KKI-0050823,31.67,0.0
SBL-0051580,28.67,0.0
NYU-0051057,44.33,0.0
SDSU-0050193,37.0,0.0
OHSU-0050156,24.67,0.0
Caltech-0051487,20.33,0.0
Pitt-0050005,40.33,0.0
Olin-0050117,38.33,0.0
SBL-0051583,28.33,0.0
OHSU-0050158,36.33,0.0
Pitt-0050056,41.67,0.0
OHSU-0050144,48.67,0.0
Caltech-0051492,18.33,0.0
NYU-0050958,55.0,1.0
OHSU-0050157,41.67,0.0
NYU-0051118,40.33,0.0
Caltech-0051464,31.33,0.0
NYU-0051050,46.33,0.0
Olin-0050123,51.67,1.0
NYU-0051056,42.33,0.0
NYU-0051072,41.67,0.0
Caltech-0051478,13.0,0.0
Leuven-1-0050697,39.33,0.0
NYU-0051015,42.0,0.0
Leuven-1-0050699,35.0,0.0
Caltech-0051482,14.67,0.0
NYU-0051042,43.67,0.0
NYU-0051150,40.33,0.0
SBL-0051570,28.0,0.0
KKI-0050814,47.67,0.0
NYU-0051060,41.0,0.0
NYU-0051104,45.0,0.0
Olin-0050109,60.0,1.0
KKI-0050822,38.67,0.0
Pitt-0050023,43.33,0.0
NYU-0050962,51.33,1.0
SBL-0051585,38.33,0.0
Leuven-1-0050703,40.0,0.0
NYU-0051053,44.67,0.0
OHSU-0050142,40.0,0.0
MaxMun-c-0051338,41.0,0.0
Pitt-0050010,45.33,0.0
Caltech-0051486,19.33,0.0
NYU-0051117,38.67,0.0
UCLA-1-0051229,39.67,0.0
Trinity-0050262,34.0,0.0
UCLA-2-0051291,35.67,0.0
UM-1-0050347,25.0,0.0
UM-1-0050372,37.33,0.0
UCLA-1-0051224,45.33,0.0
UCLA-1-0051262,44.67,0.0
USM-0050468,31.0,0.0
UCLA-1-0051241,44.33,0.0
SDSU-0050203,44.0,0.0
UCLA-2-0051307,43.67,0.0
UCLA-1-0051235,44.0,0.0
Caltech-0051460,14.33,0.0
USM-0050440,34.0,0.0
USM-0050509,47.33,0.0
UM-1-0050379,45.0,0.0
Trinity-0050237,31.0,0.0
UM-2-0050418,45.0,0.0
CMU-a-0050664,21.0,0.0
MaxMun-c-0051342,35.33,0.0
UM-1-0050360,34.67,0.0
USM-0050520,29.33,0.0
CMU-b-0050652,42.0,0.0
MaxMun-c-0051334,23.0,0.0
UCLA-1-0051273,46.0,0.0
Yale-0050558,36.33,0.0
UCLA-1-0051222,39.33,0.0
UCLA-1-0051249,36.67,0.0
UM-2-0050426,48.0,0.0
CMU-a-0050653,28.67,0.0
Trinity-0051140,20.33,0.0
UM-1-0050355,40.33,0.0
MaxMun-c-0051344,38.33,0.0
UM-2-0050416,42.33,0.0
UM-1-0050361,35.67,0.0
UM-1-0050376,38.67,0.0
Trinity-0050261,33.33,0.0
Trinity-0050245,38.0,0.0
Yale-0050620,48.67,0.0
USM-0050477,35.33,0.0
Trinity-0050259,15.67,0.0
UCLA-1-0051251,53.67,1.0
KKI-0050802,41.67,0.0
CMU-a-0050668,31.0,0.0
UCLA-1-0051207,40.0,0.0
